,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
434,Itaituba,BR,77.27,broken clouds,-4.2761,-55.9836,Hotel Campos
437,Kununurra,AU,87.78,clear sky,-15.7667,128.7333,Hotel Kununurra
438,Mareeba,AU,79.45,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
439,Williams Lake,CA,85.57,clear sky,52.1415,-122.1445,Stampeder Motel
440,Lianzhou,CN,88.21,overcast clouds,24.7811,112.3825,Qingcheng Tourism Industry
448,Rajapur,IN,86.02,light rain,25.3833,81.15,Sahu Ji Galla Mills
451,Sisophon,KH,88.5,overcast clouds,13.5859,102.9737,Pyramid Hotel
458,Kalaleh,IR,78.4,clear sky,37.3807,55.4916,عطر و ادکلن پارسیس
461,Baculin,PH,85.12,broken clouds,7.4525,126.5842,Shovy's Cove
463,Dawlatabad,AF,85.91,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
464,Sibolga,ID,84.79,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
469,Kalat,PK,75.87,broken clouds,29.0225,66.5916,PHE Rest House
474,Komsomolskiy,UZ,81.32,broken clouds,40.4272,71.7189,Ikathouse
483,Jaen,ES,85.42,clear sky,38.0,-3.5,Hotel TRH Baeza
485,San Patricio,US,86.09,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
487,Acapulco,MX,79.84,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
488,Hamilton,US,82.04,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
490,Kombissiri,BF,76.98,overcast clouds,12.0656,-1.3375,Mitibkieta Annexe
493,Ojinaga,MX,81.57,broken clouds,29.5667,-104.4167,Suites Las Palmas
496,Mingshui,CN,78.42,overcast clouds,36.7167,117.5,Grace Inn Zhangqiu Station Avenue Branch
497,Palimbang,PH,86.07,overcast clouds,6.2106,124.1894,Felmar Beach resort
498,Port-Gentil,GA,76.73,scattered clouds,-0.7193,8.7815,Fengshui Residence
500,Zlitan,LY,79.36,clear sky,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
502,Daru,PG,79.07,overcast clouds,-9.0763,143.2092,Daru Lodge
503,Biak,ID,82.8,broken clouds,-0.9131,122.8766,Penginapan Kim
514,Kendari,ID,80.51,overcast clouds,-3.945,122.4989,Hotel Wixel
518,Alyangula,AU,84.07,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
520,Balabac,PH,85.71,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
521,Meulaboh,ID,80.42,overcast clouds,4.1363,96.1285,Kost Pria
522,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
525,Nishihara,JP,85.66,broken clouds,26.1842,127.7558,Minshuku Agaihama
526,Bani Walid,LY,77.09,clear sky,31.7566,13.9942,منزل الصابر أبوفانة
527,Dingle,PH,88.27,light rain,10.9995,122.6711,SEGAYA PROPERTY
528,Taybad,IR,81.46,clear sky,34.74,60.7756,لی پوش jean center
530,Makakilo City,US,83.95,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
532,Veraval,IN,81.23,overcast clouds,20.9,70.3667,Lords Inn Somnath
535,Kilindoni,TZ,75.52,clear sky,-7.9139,39.6668,Bustani B&B
538,Khandyga,RU,79.25,scattered clouds,62.6667,135.6,Apel'sin
539,Shimanovsk,RU,75.97,broken clouds,52.0,127.7,Гостиница Домашняя
543,Roma,US,76.86,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
544,Bandarbeyla,SO,75.18,broken clouds,9.4942,50.8122,JABIR HOTEL
546,Scottsboro,US,79.16,scattered clouds,34.6723,-86.0341,Budget Inn
547,Bay Saint Louis,US,81.01,broken clouds,30.3088,-89.33,The Abode Guest House
552,Pochutla,MX,79.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
553,Alexandria,EG,80.56,few clouds,31.2156,29.9553,Royal Crown Hotel
554,Estepona,ES,82.58,light rain,36.4276,-5.1459,Hotel Mediterráneo
556,Tenosique,MX,77.54,scattered clouds,17.4833,-91.4333,Hotel Central
559,Labuhan,ID,86.52,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
562,Port Hedland,AU,82.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
565,Eyl,SO,75.29,broken clouds,7.9803,49.8164,Amiin Hotel
569,Kirensk,RU,82.38,clear sky,57.7853,108.1119,Kirenskiy Plos
573,Paungde,MM,85.44,overcast clouds,18.4833,95.5,Shwe Eain Matt highly cool guest house
574,Porbandar,IN,82.38,haze,21.6422,69.6093,Lords Inn Porbandar
575,Borazjan,IR,87.13,clear sky,29.2666,51.2159,شرکت زرمهریار شعبه سوم
577,Hambantota,LK,80.94,few clouds,6.1241,81.1185,Bungalow 63
584,Guhagar,IN,80.55,overcast clouds,17.4842,73.1929,Hotel Seawinds
585,Sola,VU,77.88,scattered clouds,-13.8833,167.55,Leumerus Bungalows
586,Bo Rai,TH,85.1,overcast clouds,12.5728,102.5371,Baiboon Resort
593,West Plains,US,84.33,broken clouds,36.7281,-91.8524,West Plains Motel
594,Luancheng,CN,80.76,broken clouds,37.8792,114.6517,Shell Hebei Shijiazhuang Luancheng Xinyuan Road Hotel
595,Sao Felix Do Xingu,BR,77.79,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
599,Mozarlandia,BR,77.54,scattered clouds,-14.7447,-50.5706,Hotel Santa Mônica
603,Yangjiang,CN,86.9,broken clouds,21.85,111.9667,HUALUXE Yangjiang City Center
605,Kieta,PG,83.53,light rain,-6.2167,155.6333,Uruna Bay Retreat
606,Tayu,ID,86.56,broken clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
610,Ingham,US,76.78,overcast clouds,42.6,-84.3833,Sunset Place
611,Manaus,BR,82.89,broken clouds,-3.1019,-60.025,Manaus Hotéis Millennium
614,Payo,ID,87.01,overcast clouds,-3.7508,103.6372,Mess keban agung
615,Panubigan,PH,83.34,light rain,7.4281,123.3466,Parish Beach
617,Kloulklubed,PW,86.5,clear sky,7.0419,134.2556,Storyboard Beach Resort
618,Manthani,IN,85.32,broken clouds,18.65,79.6667,Arepelli kumar muncipal vice chairman
621,Kuandian,CN,76.51,few clouds,40.7286,124.7847,Hi Inn Dandong Kuandian Ji Xian Garden
623,Oranjestad,AW,84.15,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
624,Tagbac,PH,75.52,moderate rain,7.089,125.1567,Sitio Maupot Family Resort
625,Fukue,JP,79.16,heavy intensity shower rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
628,Ahuimanu,US,85.14,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
629,Lensk,RU,81.77,broken clouds,60.7253,114.9278,ТинОрС
632,Guilin,CN,84.31,overcast clouds,25.2819,110.2864,Grand 0773 Hotel
634,Pathein,MM,86.16,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
635,Tual,ID,80.58,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
637,Banda Aceh,ID,82.0,overcast clouds,5.5577,95.3222,Sulthan Hotel International
638,Waverly,US,77.11,scattered clouds,42.7392,-84.6208,"Crowne Plaza Lansing West, an IHG Hotel"
639,Gorontalo,ID,88.23,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
643,Sayville,US,83.28,scattered clouds,40.7359,-73.0821,La Quinta Inn & Suites by Wyndham Islip - MacArthur Airport
644,Black River,JM,82.4,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
647,Zihuatanejo,MX,80.71,overcast clouds,17.6333,-101.55,La Casa Que Canta
648,Mardin,TR,77.5,clear sky,37.3131,40.7436,Reyhani Kasri Hotel
652,Hohhot,CN,75.49,clear sky,40.8106,111.6522,Sheraton Hohhot Hotel
659,Gizo,SB,82.65,light rain,-8.103,156.8419,Imagination Island
660,Sciacca,IT,81.03,clear sky,37.5082,13.0881,Hotel Aliai
661,Havelock,US,82.94,clear sky,34.8791,-76.9013,Sherwood Motel
664,Santa,PH,81.61,overcast clouds,17.486,120.4348,Monte Leah Beach Resort
665,Cocobeach,GA,76.93,light rain,1.0002,9.5823,Hotel Esperance
667,Wucheng,CN,80.38,light rain,29.6008,118.175,Xiuwu Restaurant
668,Samarai,PG,78.73,moderate rain,-10.6167,150.6667,Nuli Sapi
669,Porto Novo,BJ,78.62,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
672,Redwater,US,86.18,clear sky,33.3582,-94.2544,Witterstaetter Properties
673,Atambua,ID,85.21,clear sky,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
677,Carbonia,IT,75.85,overcast clouds,39.1672,8.5222,Lu 'Hotel
680,Brigantine,US,83.01,few clouds,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
681,Peleduy,RU,84.76,clear sky,59.6289,112.7406,Гостиница «Уют»
689,Yatou,CN,78.06,light rain,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
