,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
307,Zyryanka,65.75,150.85,76.77,40,51,5.7,RU,broken clouds
308,Kavaratti,10.5669,72.642,81.75,78,100,17.96,IN,overcast clouds
309,Lebu,-37.6167,-73.65,46.27,83,0,4.03,CL,clear sky
310,Borzya,50.3833,116.5167,61.43,74,98,12.44,RU,overcast clouds
311,Narasannapeta,18.4167,84.05,86.5,68,98,4.5,IN,overcast clouds
312,Uyuni,-20.4597,-66.825,37.83,53,2,19.69,BO,clear sky
313,Morondava,-20.2833,44.2833,66.18,61,0,5.48,MG,clear sky
314,Nieuw Amsterdam,5.8833,-55.0833,76.01,93,92,5.91,SR,overcast clouds
315,Omsukchan,62.5333,155.8,73.44,43,92,6.06,RU,overcast clouds
316,Marawi,7.9986,124.2928,75.65,72,76,2.77,PH,broken clouds
317,Taltal,-25.4,-70.4833,56.68,73,0,3.27,CL,clear sky
318,Westport,41.1415,-73.3579,84.34,81,1,3.0,US,clear sky
319,Kajaani,64.2273,27.7285,44.65,93,82,2.3,FI,fog
320,Ostrovnoy,68.0531,39.5131,61.34,70,100,1.97,RU,overcast clouds
321,Kamenka,51.3223,42.7678,67.42,93,46,7.02,RU,scattered clouds
322,Vila Franca Do Campo,37.7167,-25.4333,73.81,79,64,11.32,PT,broken clouds
323,Dabat,12.9842,37.765,51.66,85,31,0.43,ET,scattered clouds
324,Ilinskiy,55.619,38.1182,60.51,94,40,4.47,RU,scattered clouds
325,Buta,2.7858,24.73,68.09,99,97,1.48,CD,overcast clouds
326,Sibu,2.3,111.8167,75.51,94,40,8.05,MY,moderate rain
327,Broken Hill,-31.95,141.4333,60.51,44,2,4.61,AU,clear sky
328,Aurangabad,19.8833,75.3333,75.29,83,40,3.44,IN,haze
329,Fayaoue,-20.65,166.5333,72.1,62,86,19.46,NC,overcast clouds
330,Adrar,20.5022,-10.0711,90.23,13,67,17.0,MR,broken clouds
331,Kytmanovo,53.4593,85.4479,66.56,67,69,6.69,RU,broken clouds
332,Vrangel,42.7297,133.0839,66.63,75,100,16.28,RU,moderate rain
333,Lakselv,70.0513,24.9718,51.62,93,90,3.44,NO,overcast clouds
334,Sept-Iles,50.2001,-66.3821,66.06,97,90,1.99,CA,mist
335,Port Hope,43.9408,-82.7127,77.97,69,48,0.0,US,scattered clouds
336,Lingao,19.9103,109.6859,89.2,61,100,5.61,CN,overcast clouds
337,Bengkulu,-3.8004,102.2655,82.26,65,100,2.59,ID,overcast clouds
338,Pilar,-9.5972,-35.9567,71.53,92,53,2.17,BR,broken clouds
339,Talnakh,69.4865,88.3972,53.04,61,53,7.09,RU,broken clouds
340,Spearfish,44.4908,-103.8594,70.09,35,90,1.01,US,overcast clouds
341,Chaykovskaya,58.1279,55.5378,51.69,67,99,4.03,RU,overcast clouds
342,Blythe,33.6103,-114.5964,99.91,28,5,5.12,US,clear sky
343,Bathsheba,13.2167,-59.5167,79.41,89,40,8.05,BB,scattered clouds
344,Luba,3.4568,8.5547,73.29,86,100,7.85,GQ,light rain
345,Yurimaguas,-5.9,-76.0833,73.92,85,72,2.26,PE,broken clouds
346,Russell,32.3502,-85.1999,78.4,83,1,0.0,US,clear sky
347,Rawson,-43.3002,-65.1023,51.82,33,0,10.25,AR,clear sky
348,Opuwo,-18.0607,13.84,57.22,46,0,1.86,NA,clear sky
349,Lianran,24.9227,102.485,68.54,84,100,4.16,CN,overcast clouds
